cloudiness,rain,temp_max,wind_speed,visibility,humidity,OLS,is_outlier,DATE
49.58333333,0.0,94.1,8.687083333,10000.0,70.04166667,1.0185395263571226,False,138
62.5,0.53,91.09,8.655833333,10000.0,70.875,1.4529145458887782,False,139
75.41666667,0.67,87.1,7.94125,10000.0,75.70833333,2.077512905133696,False,140
78.54166667,0.25,87.98,6.798333333,9985.666667,71.75,2.5747697604707063,False,141
68.54166667,0.0,91.11,4.94,9907.0,72.0,2.5844322494452636,False,142
60.83333333,1.69,91.06,8.930416667,10000.0,68.33333333,1.4530010009933405,False,143
50.0,0.0,89.06,8.785,10000.0,69.75,0.8639815987774823,False,144
25.45833333,0.0,91.11,7.577083333,10000.0,63.25,1.1574508288254735,False,145
39.58333333,0.0,91.06,5.219583333,10000.0,62.5,1.919522144314625,False,146
57.91666667,0.0,90.1,7.575,10000.0,65.29166667,1.768611286377455,False,147
63.54166667,6.98,88.03,7.382083333,10000.0,72.5,1.7613126505275267,False,148
43.5,0.44,91.02,7.674583333,10000.0,70.0,0.9699273072285997,False,149
45.12,0.81,90.09,7.2564,10000.0,71.36,1.115187250354338,False,150
36.45833333,0.0,91.09,9.404583333,10000.0,71.0,0.7787556649361039,False,151
35.625,0.51,93.02,6.61,9705.173913,69.41666667,1.189845961273791,False,152
45.83333333,0.0,96.12,7.263333333,10000.0,67.04166667,1.3868331609331335,False,153
65.23076923,10.46,93.15,8.825384615,9816.24,69.15384615,1.808737693307979,False,154
27.24,5.57,89.06,6.1268,10000.0,74.6,1.739148306465514,False,155
55.26923077,4.86,90.1,5.323846154,9830.0,81.73076923,2.2346596677110107,False,156
14.95833333,1.26,93.06,3.349166667,10000.0,77.91666667,2.784513008321511,False,157
57.88461538,17.23,94.1,8.229230769,9385.538462,74.0,1.5647872299322052,False,158
22.33333333,0.25,97.05,3.927083333,10000.0,72.41666667,2.1060206996749837,False,159
54.875,0.17,95.11,10.21833333,10000.0,73.79166667,1.119521564821324,False,160
44.125,1.17,97.11,12.88666667,10000.0,72.0,1.5025876576741326,False,161
32.0,0.0,99.01,8.671666667,10000.0,74.125,1.3545798588972213,False,162
41.79166667,0.0,97.11,11.36666667,10000.0,74.875,1.3660791172635514,False,163
61.875,0.0,97.11,12.77791667,9918.625,75.375,1.6218307197339281,False,164
63.75,0.0,101.1,14.93125,9861.291667,74.83333333,2.2698196667882202,False,165
60.375,0.0,101.1,12.15666667,9900.130435,75.04166667,1.7112911764457583,False,166
59.375,0.0,100.09,9.332083333,10000.0,74.33333333,1.56731456189004,False,167
58.91666667,0.0,102.11,13.97166667,10000.0,74.125,2.093169179929661,False,168
34.04166667,0.0,103.1,12.03875,9885.173913,73.0,1.8155501736883637,False,169
60.41666667,0.0,102.11,12.02125,9759.863636,72.125,1.7397989691657978,False,170
