date,temp_max,humidity,visibility,cloudiness,wind_speed,rain
5/13/2023,84.11,84.14814815,9448.64,89.44444444,13.68555556,15.99
5/14/2023,85.05,90.38888889,7094.722222,68.61111111,14.38416667,104.28
5/15/2023,89.02,82.84,9673.72,55.8,9.1568,2.45
5/16/2023,90.1,77.19230769,10000,49.53846154,6.568076923,8.17
5/17/2023,89.02,77.91666667,10000,50.20833333,6.996666667,1.95
5/18/2023,93.06,66.95833333,10000,36.25,5.535833333,
5/19/2023,94.1,70.04166667,10000,49.58333333,8.687083333,
5/20/2023,91.09,70.875,10000,62.5,8.655833333,0.53
5/21/2023,87.1,75.70833333,10000,75.41666667,7.94125,0.67
5/22/2023,87.98,71.75,9985.666667,78.54166667,6.798333333,0.25
5/23/2023,91.11,72,9907,68.54166667,4.94,
5/24/2023,91.06,68.33333333,10000,60.83333333,8.930416667,1.69
5/25/2023,89.06,69.75,10000,50,8.785,
5/26/2023,91.11,63.25,10000,25.45833333,7.577083333,
5/27/2023,91.06,62.5,10000,39.58333333,5.219583333,
5/28/2023,90.1,65.29166667,10000,57.91666667,7.575,
5/29/2023,88.03,72.5,10000,63.54166667,7.382083333,6.98
5/30/2023,91.02,70,10000,43.5,7.674583333,0.44
5/31/2023,90.09,71.36,10000,45.12,7.2564,0.81
6/1/2023,91.09,71,10000,36.45833333,9.404583333,
6/2/2023,93.02,69.41666667,9705.173913,35.625,6.61,0.51
6/3/2023,96.12,67.04166667,10000,45.83333333,7.263333333,
6/4/2023,93.15,69.15384615,9816.24,65.23076923,8.825384615,10.46
6/5/2023,89.06,74.6,10000,27.24,6.1268,5.57
6/6/2023,90.1,81.73076923,9830,55.26923077,5.323846154,4.86
6/7/2023,93.06,77.91666667,10000,14.95833333,3.349166667,1.26
6/8/2023,94.1,74,9385.538462,57.88461538,8.229230769,17.23
6/9/2023,97.05,72.41666667,10000,22.33333333,3.927083333,0.25
6/10/2023,95.11,73.79166667,10000,54.875,10.21833333,0.17
6/11/2023,97.11,72,10000,44.125,12.88666667,1.17
6/12/2023,99.01,74.125,10000,32,8.671666667,
6/13/2023,97.11,74.875,10000,41.79166667,11.36666667,
6/14/2023,97.11,75.375,9918.625,61.875,12.77791667,
6/15/2023,101.1,74.83333333,9861.291667,63.75,14.93125,
6/16/2023,101.1,75.04166667,9900.130435,60.375,12.15666667,
6/17/2023,100.09,74.33333333,10000,59.375,9.332083333,
6/18/2023,102.11,74.125,10000,58.91666667,13.97166667,
6/19/2023,103.1,73,9885.173913,34.04166667,12.03875,
6/20/2023,102.11,72.125,9759.863636,60.41666667,12.02125,
6/21/2023,102.11,72.33333333,9967.238095,49.29166667,8.004583333,
6/22/2023,100.11,71.46153846,10000,27.5,10.44615385,23.22
6/23/2023,101.1,72.5,9984.363636,60,8.534166667,0.14
6/24/2023,100.09,77.16666667,10000,53.75,10.4975,1
6/25/2023,101.01,74.125,10000,45.41666667,11.0575,
6/26/2023,101.01,72.58333333,10000,39.95833333,10.05833333,
